"position";"roster.name";"sort_order";"cost";"edition"
"Eagle Warrior Linewoman";"Amazon";1;50;"bb2020"
"Eagle Warrior";"Amazon";1;50;"bb2025"
"Python Warrior Thrower";"Amazon";2;80;"bb2020"
"Python Warrior";"Amazon";2;80;"bb2025"
"Piranha Warrior Blitzer";"Amazon";3;90;"bb2020"
"Piranha Warrior";"Amazon";3;90;"bb2025"
"Jaguar Warrior Blocker";"Amazon";4;110;"bb2020"
"Jaguar Warrior";"Amazon";4;110;"bb2025"
"Jaguar Warrior Blocker";"Amazon";4;110;"bb2025"
"rerolls";"Amazon";5;50;"bb2020"
"rerolls";"Amazon";5;60;"bb2025"
"apothecary";"Amazon";6;50;"bb2020"
"apothecary";"Amazon";6;50;"bb2025"
"1 bribe";"Amazon";7;100;"bb2020"
"1 bribe";"Amazon";7;100;"bb2025"
"2 bribes";"Amazon";8;200;"bb2020"
"2 bribes";"Amazon";8;200;"bb2025"
"assistantCoaches";"Amazon";9;10;"bb2020"
"assistantCoaches";"Amazon";9;10;"bb2025"
"cheerleaders";"Amazon";10;10;"bb2020"
"cheerleaders";"Amazon";10;10;"bb2025"
"1 bloodweiser keg";"Amazon";11;50;"bb2020"
"Star player Akhorne the Squirrel";"Amazon";11;80;"bb2020"
"BlitzerBestKeg";"Amazon";11;50;"bb2025"
"1 team mascot";"Amazon";12;25;"bb2025"
"Star player Grombrindal";"Amazon";12;210;"bb2020"
"Star player Zolcath the Zoat";"Amazon";13;230;"bb2020"
"the White Dwarf";"Amazon";14;210;"bb2020"
"Star player Akhorne the Squirrel";"Amazon";21;80;"bb2025"
"Star player Zolcath the Zoat";"Amazon";22;220;"bb2025"
"Tribal Linewoman";"Amazon Eurobowl 2022";1;50;"bb2020"
"Eagle Warrior Thrower";"Amazon Eurobowl 2022";2;75;"bb2020"
"Piranha Warrior Catcher";"Amazon Eurobowl 2022";3;75;"bb2020"
"Koka Kalim Blitzer";"Amazon Eurobowl 2022";4;90;"bb2020"
"rerolls";"Amazon Eurobowl 2022";5;50;"bb2020"
"apothecary";"Amazon Eurobowl 2022";6;50;"bb2020"
"1 bribe";"Amazon Eurobowl 2022";7;100;"bb2020"
"2 bribes";"Amazon Eurobowl 2022";8;200;"bb2020"
"assistantCoaches";"Amazon Eurobowl 2022";9;10;"bb2020"
"cheerleaders";"Amazon Eurobowl 2022";20;10;"bb2020"
"Eagle Warrior Linewoman";"Amazon Team of Legend";1;50;"bb2020"
"Python Warrior Thrower";"Amazon Team of Legend";2;80;"bb2020"
"Koka Kalim Blitzer";"Amazon Team of Legend";3;90;"bb2020"
"Piranha Warrior Catcher";"Amazon Team of Legend";4;75;"bb2020"
"rerolls";"Amazon Team of Legend";7;50;"bb2020"
"apothecary";"Amazon Team of Legend";8;50;"bb2020"
