"skill_name";"color";"edition"
"Accurate";"lightcyan4";"bb2020"
"Accurate";"lightcyan4";"bb2025"
"AccuratePass";"lightcyan4";"bb2025"
"Arm Bar";"yellowgreen";"bb2020"
"Arm Bar";"yellowgreen";"bb2025"
"Big Hand";"chartreuse4";"bb2020"
"Big Hand";"chartreuse4";"bb2025"
"Block";"blue";"bb2020"
"Block";"blue";"bb2025"
"BlockBreakTackle";"blue3";"bb2025"
"BlockDodge";"springgreen4";"bb2020"
"BlockDodge";"springgreen4";"bb2025"
"BlockJumpup";"blue3";"bb2025"
"BlockSide Step";"darkgoldenrod1";"bb2020"
"BlockSide Step";"darkgoldenrod1";"bb2025"
"Brawler";"steelblue4";"bb2020"
"Brawler";"steelblue4";"bb2025"
"Break Tackle";"lightcyan3";"bb2020"
"Break Tackle";"lightcyan3";"bb2025"
"BreakTackleBlock";"blue3";"bb2025"
"BreakTackleHorns";"blue3";"bb2025"
"BreakTackleLeader";"purple1";"bb2025"
"BreakTackleStripBall";"blue3";"bb2025"
"BreakTackleWrestle";"lightcyan4";"bb2025"
"Bullseye";"orange2";"bb2025"
"BullseyeGrab";"red3";"bb2025"
"BullseyeStrongArm";"red3";"bb2025"
"Cannoneer";"lightblue2";"bb2020"
"Cannoneer";"lightblue2";"bb2025"
"Catch";"peachpuff2";"bb2020"
"Catch";"peachpuff2";"bb2025"
"CatchJumpUp";"yellow";"bb2025"
"Claws";"darkred";"bb2020"
"Claws";"darkred";"bb2025"
"ClawsBlock";"darkorchid4";"bb2020"
"ClawsBlock";"darkorchid4";"bb2025"
"CloudBursterAccurate";"orange";"bb2025"
"Dauntless";"lightcyan3";"bb2020"
"Dauntless";"lightcyan3";"bb2025"
"Defensive";"aquamarine";"bb2020"
"Defensive";"aquamarine";"bb2025"
"DefensiveDodge";"blueviolet";"bb2020"
"DefensiveDodge";"blueviolet";"bb2025"
"Dirty Player";"chocolate3";"bb2020"
"Dirty Player";"chocolate3";"bb2025"
"Dirty PlayerSneaky Git";"chocolate2";"bb2020"
"Dirty PlayerSneaky Git";"chocolate2";"bb2025"
"Diving Catch";"lightcyan3";"bb2020"
"Diving Catch";"lightcyan3";"bb2025"
"Diving Tackle";"lightcyan3";"bb2020"
"Diving Tackle";"lightcyan3";"bb2025"
"DivingTackleSideStep";"yellow";"bb2025"
"Dodge";"yellow";"bb2020"
"Dodge";"yellow";"bb2025"
"DodgeBlock";"springgreen4";"bb2020"
"DodgeBlock";"springgreen4";"bb2025"
"DodgeDiving Tackle";"goldenrod";"bb2020"
"DodgeDiving Tackle";"goldenrod";"bb2025"
"DodgeTackle";"orange2";"bb2025"
"Dump-off";"lightseagreen";"bb2020"
"Dump-off";"lightseagreen";"bb2025"
"Extra Arms";"lightcyan3";"bb2020"
"Extra Arms";"lightcyan3";"bb2025"
"Extra ArmsBlock";"springgreen";"bb2020"
"Extra ArmsBlock";"springgreen";"bb2025"
"Extra ArmsSure Hands";"maroon3";"bb2020"
"Extra ArmsSure Hands";"maroon3";"bb2025"
"EyeGouge";"cornflowerblue";"bb2025"
"Fend";"dodgerblue";"bb2020"
"Fend";"dodgerblue";"bb2025"
"Frenzy";"firebrick3";"bb2020"
"Frenzy";"firebrick3";"bb2025"
"FrenzyBlock";"mediumpurple4";"bb2020"
"FrenzyBlock";"mediumpurple4";"bb2025"
"FrenzyDodge";"slateblue4";"bb2020"
"FrenzyDodge";"slateblue4";"bb2025"
"FrenzyStripBall";"red2";"bb2025"
"FrenzyTackle";"red3";"bb2025"
"Grab";"lightsalmon4";"bb2020"
"Grab";"lightsalmon4";"bb2025"
"Guard";"green";"bb2020"
"Guard";"green";"bb2025"
"GuardBlock";"lightcyan3";"bb2020"
"GuardBlock";"green3";"bb2025"
"GuardBrawler";"mediumblue";"bb2020"
"GuardBrawler";"mediumblue";"bb2025"
"GuardBreakTackle";"aquamarine4";"bb2025"
"GuardDefensive";"lightslategrey";"bb2020"
"GuardDefensive";"green4";"bb2025"
"GuardDodge";"lawngreen";"bb2020"
"GuardDodge";"lawngreen";"bb2025"
"GuardPro";"plum";"bb2020"
"GuardPro";"plum";"bb2025"
"GuardTackle";"darkorange3";"bb2020"
"GuardTackle";"darkorange3";"bb2025"
"GuardTentacles";"chartreuse3";"bb2020"
"GuardTentacles";"chartreuse3";"bb2025"
"Hail Mary Pass";"lightcyan3";"bb2020"
"Hail Mary Pass";"lightcyan3";"bb2025"
"HitandRun";"yellow2";"bb2025"
"HitandRunDodge";"yellow4";"bb2025"
"Horns";"lightcyan3";"bb2020"
"Horns";"lightcyan3";"bb2025"
"HornsBlock";"mediumseagreen";"bb2020"
"HornsBlock";"mediumseagreen";"bb2025"
"HornsWrestle";"lightcyan4";"bb2020"
"HornsWrestle";"lightcyan4";"bb2025"
"Iron Hard Skin";"chartreuse1";"bb2020"
"Iron Hard Skin";"chartreuse1";"bb2025"
"Juggernaut";"slateblue2";"bb2020"
"Juggernaut";"slateblue2";"bb2025"
"JuggernautBreakTackle";"lightslategrey";"bb2020"
"JuggernautBreakTackle";"lightslategrey";"bb2025"
"JuggernautClaws";"limegreen";"bb2020"
"JuggernautClaws";"limegreen";"bb2025"
"JuggernautFrenzy";"firebrick2";"bb2025"
"JuggernautGuard";"lightslategrey";"bb2020"
"JuggernautGuard";"lightslategrey";"bb2025"
"Jump Up";"lightcyan3";"bb2020"
"Jump Up";"lightcyan3";"bb2025"
"Kick";"slateblue4";"bb2020"
"Kick";"slateblue4";"bb2025"
"KickLeaderAccurate";"purple3";"bb2025"
"Leader";"purple";"bb2020"
"Leader";"purple";"bb2025"
"LeaderBlock";"lightcyan3";"bb2020"
"LeaderBlock";"purple2";"bb2025"
"LeaderCannoneer";"lightslategrey";"bb2020"
"LeaderCannoneer";"lightslategrey";"bb2025"
"LeaderDodge";"hotpink2";"bb2020"
"LeaderDodge";"hotpink2";"bb2025"
"LeaderPro";"purple";"bb2025"
"LeaderWrestle";"purple1";"bb2025"
"Leap";"lightcyan3";"bb2020"
"Leap";"lightcyan3";"bb2025"
"LeapFrenzy";"lightslategrey";"bb2020"
"LeapFrenzy";"lightslategrey";"bb2025"
"Lethal Flight";"red2";"bb2025"
"Lone Fouler";"brown3";"bb2025"
"Lone FoulerSneakyGit";"pink1";"bb2025"
"Mighty Blow";"red";"bb2020"
"Mighty Blow";"red";"bb2025"
"Mighty BlowBlock";"mediumpurple3";"bb2020"
"Mighty BlowBlock";"mediumpurple3";"bb2025"
"Mighty BlowClaws";"seagreen4";"bb2020"
"Mighty BlowClaws";"seagreen4";"bb2025"
"Mighty BlowFrenzy";"tomato3";"bb2020"
"Mighty BlowFrenzy";"tomato3";"bb2025"
"Mighty BlowGuard";"tomato4";"bb2020"
"Mighty BlowGuard";"tomato4";"bb2025"
"Mighty BlowJuggernaut";"purple4";"bb2020"
"Mighty BlowJuggernaut";"purple4";"bb2025"
"Mighty BlowTackle";"red4";"bb2020"
"Mighty BlowTackle";"red4";"bb2025"
"MightyBlowBreakTackle";"palevioletred3";"bb2025"
"MightyBlowGrab";"lightslategrey";"bb2020"
"MightyBlowGrab";"lightslategrey";"bb2025"
"MightyBlowHorns";"palevioletred3";"bb2025"
"Monstrous Mouth";"lightcyan3";"bb2020"
"Monstrous Mouth";"lightcyan3";"bb2025"
"Monstrous MouthBlock";"blue4";"bb2025"
"Multiple Block";"lightcyan3";"bb2020"
"Multiple Block";"lightcyan3";"bb2025"
"Multiple BlockPro";"mediumvioletred";"bb2020"
"Multiple BlockPro";"mediumvioletred";"bb2025"
"NervesofSteel";"darkorchid1";"bb2025"
"NervesofSteelLeader";"purple";"bb2025"
"On the Ball";"lightskyblue";"bb2020"
"On the Ball";"lightskyblue";"bb2025"
"Pass";"lightcyan3";"bb2020"
"Pass";"lightcyan3";"bb2025"
"PassAccurate";"lightsteelblue4";"bb2020"
"PassAccurate";"lightsteelblue4";"bb2025"
"PassLeader";"lightsteelblue2";"bb2020"
"PassLeader";"lightsteelblue2";"bb2025"
"Pile Driver";"brown4";"bb2020"
"Pile Driver";"brown4";"bb2025"
"Prehensile Tail";"chartreuse";"bb2020"
"Prehensile Tail";"chartreuse";"bb2025"
"Pro";"pink3";"bb2020"
"Pro";"pink3";"bb2025"
"ProBlock";"lightslategrey";"bb2020"
"ProBlock";"lightslategrey";"bb2025"
"ProBreakTackle";"lightslategrey";"bb2020"
"ProBreakTackle";"lightslategrey";"bb2025"
"ProDodge";"pink1";"bb2020"
"ProDodge";"pink1";"bb2025"
"ProGuard";"lightslategrey";"bb2020"
"ProGuard";"green4";"bb2025"
"Punt";"beige";"bb2025"
"PuntKick";"beige";"bb2025"
"PutTheBootIn";"brown2";"bb2025"
"QuickFoulSneakyGit";"pink";"bb2025"
"Running Pass";"lightcyan3";"bb2020"
"Running Pass";"lightcyan3";"bb2025"
"Saboteur";"darkolivegreen4";"bb2025"
"Safe Pair of Hands";"lightcyan3";"bb2020"
"Safe Pair of Hands";"lightcyan3";"bb2025"
"Safe Pass";"lightsteelblue";"bb2020"
"Safe Pass";"lightsteelblue";"bb2025"
"Shadowing";"azure4";"bb2025"
"Side Step";"lightgoldenrod";"bb2020"
"Side Step";"lightgoldenrod";"bb2025"
"Side StepDodge";"moccasin";"bb2020"
"Side StepDodge";"moccasin";"bb2025"
"SideStepSureFeet";"yellow";"bb2025"
"Sneaky Git";"pink1";"bb2020"
"Sneaky Git";"pink1";"bb2025"
"Sneaky GitDefensive";"lightcyan3";"bb2020"
"Sneaky GitDefensive";"pink2";"bb2025"
"Sneaky GitDodge";"lightpink2";"bb2020"
"Sneaky GitDodge";"lightpink2";"bb2025"
"SneakyGitDirtyPlayer";"lightslategrey";"bb2020"
"SneakyGitDirtyPlayer";"pink2";"bb2025"
"SneakyGitJumpUp";"lightslategrey";"bb2020"
"SneakyGitJumpUp";"pink2";"bb2025"
"SneakyGitQuickFoul";"pink2";"bb2025"
"Sprint";"lightcyan2";"bb2020"
"Sprint";"lightcyan2";"bb2025"
"SprintBlock";"blue2";"bb2025"
"SprintSureFeet";"yellow2";"bb2025"
"Stand Firm";"lightcyan3";"bb2020"
"Stand Firm";"lightcyan3";"bb2025"
"Stand FirmBlock";"dodgerblue";"bb2020"
"Stand FirmBlock";"dodgerblue";"bb2025"
"Stand FirmMighty Blow";"firebrick";"bb2020"
"Stand FirmMighty Blow";"firebrick";"bb2025"
"StandFirmGuard";"lightslategrey";"bb2020"
"StandFirmGuard";"lightslategrey";"bb2025"
"Steady Footing";"grey3";"bb2025"
"Strip Ball";"deeppink1";"bb2020"
"Strip Ball";"deeppink1";"bb2025"
"Strip BallBlock";"magenta";"bb2020"
"Strip BallBlock";"magenta";"bb2025"
"Strip BallDodge";"pink1";"bb2020"
"Strip BallDodge";"pink1";"bb2025"
"Strip BallFrenzy";"magenta3";"bb2020"
"Strip BallFrenzy";"magenta3";"bb2025"
"StripBallSidestep";"lightslategrey";"bb2020"
"StripBallSidestep";"lightslategrey";"bb2025"
"Strong Arm";"lightslategrey";"bb2020"
"Strong Arm";"lightslategrey";"bb2025"
"Sure Feet";"yellow2";"bb2020"
"Sure Feet";"yellow2";"bb2025"
"Sure FeetCatch";"orange";"bb2020"
"Sure FeetCatch";"orange";"bb2025"
"Sure Hands";"pink4";"bb2020"
"Sure Hands";"pink4";"bb2025"
"Sure HandsBlock";"springgreen";"bb2020"
"Sure HandsBlock";"springgreen";"bb2025"
"Sure HandsDodge";"gold";"bb2020"
"Sure HandsDodge";"gold";"bb2025"
"SureFeetBlock";"lightslategrey";"bb2020"
"SureFeetBlock";"lightslategrey";"bb2025"
"SureHandsAccurate";"purple";"bb2025"
"SureHandsJuggernaut";"lightslategrey";"bb2020"
"SureHandsJuggernaut";"lightslategrey";"bb2025"
"SureHandsKick";"purple";"bb2025"
"SureHandsLeader";"lightslategrey";"bb2020"
"SureHandsLeader";"lightslategrey";"bb2025"
"Tackle";"orange";"bb2020"
"Tackle";"orange";"bb2025"
"TackleBlock";"lightcyan3";"bb2020"
"TackleBlock";"lightcyan3";"bb2025"
"TackleDodge";"yellow3";"bb2020"
"TackleDodge";"yellow3";"bb2025"
"TackleFrenzy";"lightslategrey";"bb2020"
"TackleFrenzy";"lightslategrey";"bb2025"
"TackleGuard";"lightslategrey";"bb2020"
"TackleGuard";"lightslategrey";"bb2025"
"TackleJuggernaut";"lightslategrey";"bb2020"
"TackleJuggernaut";"lightslategrey";"bb2025"
"TackleMightyBlow";"red4";"bb2020"
"TackleMightyBlow";"red4";"bb2025"
"TackleSidestep";"lightslategrey";"bb2020"
"TackleSidestep";"lightslategrey";"bb2025"
"TackleStrip ball";"deeppink3";"bb2020"
"TackleStrip Ball";"sienna1";"bb2020"
"TackleStrip Ball";"sienna1";"bb2025"
"Taunt";"purple2";"bb2025"
"Tentacles";"lightcyan3";"bb2020"
"Tentacles";"lightcyan3";"bb2025"
"Thick Skull";"lightcyan3";"bb2020"
"Thick Skull";"lightcyan3";"bb2025"
"Thick SkullGuard";"lightcyan3";"bb2020"
"Thick SkullGuard";"lightcyan3";"bb2025"
"Two Heads";"navajowhite4";"bb2020"
"Two Heads";"navajowhite4";"bb2025"
"Two HeadsBlock";"darkturquoise";"bb2020"
"Two HeadsBlock";"darkturquoise";"bb2025"
"Two HeadsDodge";"chartreuse";"bb2020"
"Two HeadsDodge";"chartreuse";"bb2025"
"Two HeadsSide Step";"forestgreen";"bb2020"
"Two HeadsSide Step";"forestgreen";"bb2025"
"Two HeadsSure Hands";"olivedrab1";"bb2020"
"Two HeadsSure Hands";"olivedrab1";"bb2025"
"Two HeadsWrestle";"limegreen";"bb2020"
"Two HeadsWrestle";"limegreen";"bb2025"
"TwoHeadsExtraArms";"lightslategrey";"bb2020"
"TwoHeadsExtraArms";"lightslategrey";"bb2025"
"Wrestle";"grey80";"bb2020"
"Wrestle";"grey80";"bb2025"
"WrestleDodge";"goldenrod4";"bb2020"
"WrestleDodge";"goldenrod4";"bb2025"
"WrestleFrenzy";"lightcyan3";"bb2020"
"WrestleFrenzy";"lightcyan3";"bb2025"
"WrestleHorns";"lightslategrey";"bb2020"
"WrestleHorns";"lightslategrey";"bb2025"
"WrestleLeap";"gray70";"bb2020"
"WrestleLeap";"gray70";"bb2025"
"WrestlePro";"orchid2";"bb2020"
"WrestlePro";"orchid2";"bb2025"
"WrestleSideStep";"yellow1";"bb2025"
"WrestleStrip Ball";"deeppink4";"bb2020"
"WrestleStrip Ball";"deeppink4";"bb2025"
"WrestleTackle";"darkorange4";"bb2020"
"WrestleTackle";"darkorange4";"bb2025"
"WrestleTwoHeads";"lightslategrey";"bb2020"
"WrestleTwoHeads";"lightslategrey";"bb2025"
;"grey50";"bb2020"
;"grey50";"bb2025"
